,Accuracy,Precision (Fault),Recall (Fault),F1 (Fault),ROC-AUC
Random Forest,0.9974025974025974,0.9772727272727273,1.0,0.9885057471264368,0.9993880048959608
LSTM,0.9948051948051948,0.9555555555555556,1.0,0.9772727272727273,0.9946960424316607
Hybrid,0.9974025974025974,0.9772727272727273,1.0,0.9885057471264368,0.9976200190398478
